time_s,emg_0,emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7,orient_0,orient_1,orient_2,orient_3,accel_0,accel_1,accel_2,gyro_0,gyro_1,gyro_2,pose,rssi
0.4,-3.05,7.668,19.996,-21.171,-2.5,29.629,-14.872,-16.445,0.0202,0.0844,0.0011,0.1329,0.257,0.2525,0.1662,0.4655,-0.041,-0.4007,rest,-55
0.42,32.085,-9.154,2.158,26.191,-32.045,-25.033,-32.026,-15.883,0.044,0.0524,0.0276,-0.1413,-0.693,0.0163,-0.1415,0.0919,0.1404,0.0276,rest,-55
0.44,15.203,4.584,10.601,-14.093,-3.592,3.936,16.411,-7.875,0.0521,-0.0266,-0.0118,0.083,-0.5979,-0.3889,-0.4447,-0.4667,-0.1357,0.1499,rest,-55
0.46,-5.698,3.956,21.784,26.554,-1.383,27.072,1.843,-16.748,-0.0594,-0.1481,-0.0888,-0.0358,0.2411,0.5162,-0.4147,0.0786,-0.2081,0.0949,rest,-55
0.48,-2.622,-36.618,18.566,-12.1,-10.678,-21.395,-13.086,8.558,-0.0189,0.0329,0.0362,0.1321,-0.1028,-0.4431,0.3202,-0.0663,0.2229,0.0767,rest,-55
0.5,-2.623,6.976,39.02,41.54,1.388,3.204,21.525,-16.913,0.0333,-0.0026,0.0314,-0.0833,-0.4769,-0.6219,-0.3352,-0.0917,-0.0586,0.3874,rest,-55
0.52,22.12,-19.242,6.954,-8.142,-5.687,3.707,12.383,-6.785,0.1064,-0.1142,0.0006,0.2598,0.0669,0.43,0.0275,0.1162,-0.0114,-0.0341,rest,-55
0.54,-15.59,8.606,-17.031,13.312,21.706,7.331,-5.725,9.079,-0.0309,0.0936,-0.1831,-0.0336,-0.5972,-0.4485,0.4092,0.179,-0.1439,-0.3005,rest,-55
0.56,-59.291,-10.87,48.408,8.698,-11.191,9.302,-31.219,-5.946,0.0099,-0.0086,0.0791,0.0345,0.2005,-0.2065,0.2693,0.3258,-0.194,-0.1775,rest,-55
0.58,26.716,-3.827,28.076,-8.851,29.101,2.63,5.165,31.294,-0.0362,-0.0941,-0.0449,0.0452,-0.4697,0.1912,-0.1616,0.2296,-0.4789,-0.1573,rest,-55
0.6,-33.729,-16.525,4.953,-3.585,-5.068,-3.184,4.068,-20.171,0.0707,0.0663,0.0385,0.0557,0.0889,0.6105,-0.0261,-0.0614,-0.1507,-0.2065,rest,-55
0.62,-24.889,-17.776,-1.414,6.686,1.023,-15.311,18.004,14.788,-0.016,-0.0653,0.0548,0.0188,-0.4344,-0.0204,0.0786,-0.1799,0.038,-0.291,rest,-55
0.64,26.724,24.959,-5.05,7.269,-48.198,-23.127,-5.876,-21.443,0.0714,0.1997,-0.1177,-0.0837,0.0706,0.4833,-0.3667,0.0498,0.3643,-0.3304,rest,-55
0.66,-25.621,-8.472,-10.412,16.252,4.833,-35.499,10.308,-11.551,0.1274,-0.0628,-0.0637,0.0541,0.2289,0.1344,-0.5057,0.1076,-0.2069,0.0471,rest,-55
0.68,-28.475,8.926,-16.132,-25.653,14.276,4.833,-12.28,29.024,-0.0441,0.0032,0.0269,-0.062,0.1413,-0.16,-0.1235,0.2725,-0.2081,-0.4826,rest,-55
0.7,32.219,50.987,-8.105,-38.737,-6.21,-5.724,-3.798,-22.268,0.058,0.0525,-0.1494,0.0699,0.6158,0.0516,-0.1012,-0.0284,0.1231,-0.3461,rest,-55
0.72,3.288,-7.809,36.957,-3.483,33.358,-22.075,11.745,6.388,-0.0869,0.0177,0.1213,-0.0324,-0.5076,-0.0053,-0.2707,-0.0685,-0.0163,-0.3411,rest,-55
0.74,-32.313,9.641,-10.454,-51.295,15.697,5.447,-14.277,-26.337,0.0836,0.0349,0.2383,0.042,0.1163,-0.0501,0.245,0.125,0.2503,-0.1043,rest,-55
0.76,-8.708,-9.582,15.816,29.967,-9.177,-8.495,6.282,-4.915,0.0952,-0.2252,-0.0827,-0.0782,-0.6961,-0.2891,-0.2745,-0.0402,0.2226,-0.049,rest,-55
0.78,-20.616,-1.139,20.983,-19.519,-18.211,11.171,-4.431,12.95,-0.0014,0.0702,-0.1035,-0.0012,-0.0632,-0.3648,-0.469,0.1371,-0.0702,-0.2045,rest,-55
0.8,-1.924,22.56,-45.615,-29.933,-18.458,29.224,5.652,15.346,-0.114,-0.112,0.0448,0.0058,0.1646,-0.0563,0.0834,0.0316,0.1556,0.1614,rest,-55
0.82,-32.397,-44.945,20.035,23.755,-20.412,-37.197,1.981,18.617,0.1798,0.0516,-0.0372,-0.0893,0.0034,-0.0898,-0.3045,0.4098,0.357,0.2272,rest,-55
0.84,-18.417,17.1,12.793,8.851,24.993,12.707,14.8,12.738,0.0341,-0.1784,0.0084,-0.0556,-0.384,0.5045,0.5187,0.2718,0.051,0.2701,rest,-55
0.86,0.241,4.056,-21.869,7.94,1.208,-26.053,-1.024,-1.595,0.1798,0.0894,0.0011,0.0249,0.0133,-0.0609,-0.3247,-0.0302,-0.1492,-0.2501,rest,-55
0.88,10.224,7.825,-35.734,-2.454,19.914,21.184,20.517,0.778,-0.0845,-0.1084,0.0345,0.0379,0.3862,0.33,-0.0397,-0.2488,-0.0638,0.0434,rest,-55
0.9,-4.042,-11.558,5.058,-10.079,-12.561,6.229,-8.04,4.882,0.0273,-0.1139,-0.0481,0.1438,-0.3486,-0.635,-0.5586,0.0058,0.0062,-0.0235,rest,-55
0.92,24.284,-53.457,7.919,31.229,-22.556,-7.596,-15.058,-17.887,-0.0326,0.1427,0.1837,-0.0336,0.5715,0.0107,0.5261,-0.0187,0.0262,0.0731,rest,-55
0.94,63.577,17.026,-14.145,19.38,-7.237,-9.795,18.172,0.622,0.0279,0.0014,0.0337,0.0425,-0.5811,0.2,-0.2946,-0.2885,-0.0117,0.0168,rest,-55
0.96,-13.87,16.621,-26.844,-8.139,-11.697,-0.932,5.577,-20.158,0.0724,0.0063,-0.1892,-0.1959,-0.0037,-0.0663,-0.031,-0.0056,0.0451,0.1895,rest,-55
0.98,-22.222,-23.439,-21.866,5.778,24.899,-8.627,-50.034,-34.08,-0.0833,-0.0558,-0.0408,0.0039,-0.0935,0.3148,-0.2028,-0.1725,0.0958,-0.3071,rest,-55
1.0,7.794,2.051,-2.949,31.766,-12.444,41.206,-4.509,-25.54,0.007,-0.1076,-0.0752,0.0397,0.1667,-0.1867,0.2962,0.2315,0.2873,0.1059,rest,-55
1.02,27.269,-37.616,-6.358,-17.34,2.385,-11.429,-3.323,37.643,-0.017,0.0414,-0.0232,0.0076,0.0018,0.1345,0.3496,0.3295,0.0619,0.1179,rest,-55
1.04,-23.017,-1.758,18.806,17.319,4.232,17.728,9.815,24.006,0.0289,-0.0356,0.0336,-0.2931,0.1149,-1.0945,-0.517,0.0904,0.0955,-0.2325,rest,-55
1.06,-14.242,27.411,-9.681,44.858,-0.038,8.161,32.337,2.621,-0.1002,-0.011,-0.0036,-0.1365,-0.0767,-0.2227,0.2773,0.0069,-0.0566,-0.0212,rest,-55
1.08,4.462,12.336,-19.994,-20.832,22.094,-8.247,-28.337,8.876,0.0463,-0.1531,0.0229,0.0736,0.1123,0.1896,-0.4213,0.0662,-0.0605,-0.0966,rest,-55
1.1,17.411,29.585,35.887,26.296,-2.195,7.054,15.336,2.424,0.0131,0.0824,-0.0059,-0.0729,-0.1243,0.1902,0.0009,0.068,0.134,-0.075,rest,-55
1.12,15.125,7.577,-24.696,28.846,-10.015,-33.102,-20.901,-20.421,0.0052,-0.0274,-0.0337,0.062,0.102,0.0948,0.1229,0.1232,-0.4216,-0.0729,rest,-55
1.14,-43.604,0.721,-0.093,20.911,23.753,4.056,-10.007,9.703,-0.0528,-0.0001,0.0986,-0.0558,0.2417,0.2032,-0.2864,0.1948,0.1397,0.0204,rest,-55
1.16,-15.246,-17.184,-10.753,10.852,-19.113,8.75,-24.835,-4.081,0.011,0.2445,-0.1377,0.1472,0.045,0.1234,0.0355,0.0889,-0.0307,0.2908,rest,-55
1.18,-9.129,22.645,-12.887,-1.205,-21.439,9.1,28.903,-1.547,-0.0197,-0.1115,-0.0229,-0.1593,-0.2739,0.068,0.3957,0.5618,-0.1173,0.2871,rest,-55
1.2,4.875,-3.025,8.652,1.238,2.208,-8.167,-27.962,-30.873,0.0653,-0.0277,-0.0596,0.0009,0.2385,0.0541,-0.1968,0.2453,0.3158,0.0989,rest,-55
1.22,19.473,24.839,22.602,12.282,11.967,10.393,-21.947,14.014,-0.1356,-0.0795,0.1304,0.084,0.4462,-0.0815,-0.3457,-0.0481,0.0204,0.0158,rest,-55
1.24,22.674,-7.225,7.041,-19.773,9.006,0.062,-14.996,-4.717,-0.0184,-0.027,0.1771,-0.0098,-0.0732,-0.6292,-0.2683,-0.0526,-0.1372,0.2763,rest,-55
1.26,-3.299,25.769,1.234,0.745,-1.776,0.076,34.376,-46.392,-0.2002,-0.0543,0.0015,0.069,0.1419,-0.1153,0.3057,0.206,0.0368,0.1925,rest,-55
1.28,5.453,-11.23,13.956,2.212,0.027,29.459,-49.017,-28.354,-0.1187,-0.0363,-0.0255,-0.1507,-0.2955,-0.2583,0.7372,0.3603,-0.0823,-0.0727,rest,-55
1.3,-22.984,-38.163,-2.338,-19.957,-1.697,-32.004,-15.239,2.973,0.0366,0.0417,-0.132,0.0855,-0.2401,0.1899,-0.0032,-0.2753,-0.0632,0.0731,rest,-55
1.32,12.259,-2.82,30.636,20.15,-5.133,15.002,38.676,39.21,-0.1228,-0.0927,0.1485,-0.1058,-0.3968,-0.1459,0.1261,-0.0205,-0.1301,-0.1348,rest,-55
1.34,-14.247,-17.59,45.633,5.95,17.735,-9.782,-3.719,-14.271,-0.2652,-0.1378,-0.1811,-0.225,-0.3586,0.3975,-0.0133,0.2581,0.0822,0.1565,rest,-55
1.36,-18.018,10.479,14.574,-11.533,11.191,11.324,-10.991,-22.455,-0.1184,0.0087,0.0327,-0.0793,0.008,0.1712,0.1855,0.3104,0.2554,-0.2003,rest,-55
1.38,33.672,-10.62,20.897,1.36,-8.243,-36.154,-3.431,-31.188,0.0967,0.1517,-0.0797,0.0302,-0.2176,-0.1885,0.2323,-0.0077,0.3479,-0.0964,rest,-55
1.4,19.987,1.948,15.916,-8.943,-0.991,-2.31,-16.721,13.242,0.065,0.0594,0.1537,0.1449,-0.1125,0.1119,-0.1871,0.0047,-0.1199,0.324,rest,-55
1.42,7.274,-4.361,23.872,-43.412,-40.282,15.917,1.209,5.009,-0.1326,-0.0023,0.2004,0.0824,0.0509,-0.1317,-0.1184,-0.4258,0.0515,0.1691,rest,-55
1.44,-31.512,-13.228,-23.149,-19.307,1.07,-41.688,12.285,15.077,-0.0251,-0.2481,-0.0996,0.1233,-0.8334,-0.1043,-0.354,0.1609,-0.135,0.0808,rest,-55
1.46,11.309,36.725,-4.059,7.521,-29.701,23.808,-15.21,-11.215,-0.0022,-0.1563,0.0229,0.0967,0.0879,-0.4767,-0.0371,0.1484,-0.3756,-0.215,rest,-55
1.48,17.531,5.402,8.239,37.19,9.371,13.158,54.215,-4.276,-0.0798,0.0428,0.0439,-0.0527,-0.3097,0.693,0.0981,-0.1465,0.1832,-0.0218,rest,-55
1.5,-5.058,11.245,-25.838,7.053,38.259,9.324,-7.524,-10.142,-0.041,-0.0254,-0.0378,0.0916,-0.52,0.2586,-0.1139,0.0754,-0.2254,0.2657,rest,-55
1.52,24.913,19.192,-30.295,16.582,8.097,-32.105,-0.486,7.291,0.0556,0.0177,0.0291,0.1474,0.3678,-0.8601,-0.0952,-0.0329,-0.3504,0.0188,rest,-55
1.54,24.975,-21.731,6.728,-18.316,-13.438,29.548,-10.851,9.244,-0.1871,0.1862,0.0603,-0.0182,0.1727,-0.4229,0.3548,-0.0648,-0.0408,-0.0983,rest,-55
1.56,-11.613,13.893,5.118,13.035,-0.176,10.264,-8.377,44.595,-0.1568,0.1261,0.1368,-0.0852,0.6688,0.2986,0.2913,0.0056,-0.0434,-0.0419,rest,-55
1.58,7.811,28.024,3.626,-18.229,16.489,18.423,13.093,14.91,-0.0271,-0.0929,-0.0868,-0.1635,0.0711,-0.025,-0.132,-0.5911,-0.2495,0.2242,rest,-55
1.6,-13.293,7.212,-27.814,28.774,-2.881,5.801,46.516,30.329,-0.0307,-0.0593,-0.0326,0.051,-0.0316,-0.1186,0.4402,-0.0228,0.4599,0.0181,rest,-55
1.62,35.706,7.146,19.259,-14.492,-17.075,9.194,19.771,0.805,-0.1286,-0.136,-0.1427,-0.1768,0.0328,0.3375,-0.004,-0.4521,-0.0382,-0.0326,rest,-55
1.64,41.92,-29.143,-7.814,34.117,9.0,11.266,2.292,6.599,0.0778,-0.0809,0.0878,-0.1373,0.0985,0.0536,-0.1849,-0.0045,-0.1245,-0.2143,rest,-55
1.66,-7.072,-22.08,6.456,-23.002,14.24,-23.63,-11.326,-12.492,0.1325,0.033,-0.0212,0.0499,-0.6322,-0.0129,0.5993,0.0265,0.0136,0.1096,rest,-55
1.68,17.912,-39.949,-33.647,4.206,-14.298,26.241,-6.303,-38.691,-0.1268,-0.275,-0.0234,-0.0188,-0.1273,0.3237,0.3596,-0.0341,-0.4269,0.1235,rest,-55
1.7,11.107,6.188,19.63,-23.297,40.175,-19.189,14.984,-33.747,-0.093,0.1516,-0.0261,0.084,0.0711,-0.0315,0.4092,-0.0473,-0.3561,-0.1606,rest,-55
1.72,11.024,7.91,-31.341,-14.487,-11.634,-7.309,-27.518,-12.567,-0.0729,0.0772,0.0809,-0.0146,-0.1176,0.042,-0.245,-0.2294,-0.188,-0.127,rest,-55
1.74,-23.269,3.241,14.594,-31.742,0.503,-4.399,6.83,-0.259,-0.1454,-0.1262,0.0029,0.1029,-0.6643,0.1037,0.3569,-0.0306,0.11,-0.1406,rest,-55
1.76,-2.387,-32.418,-46.887,18.855,-19.7,-9.111,-27.729,-28.199,-0.0174,-0.073,0.0378,0.0453,0.0963,0.0716,0.4733,-0.2135,-0.011,0.2265,rest,-55
1.78,25.291,-28.435,-6.247,27.162,10.162,3.905,-4.354,-7.676,0.0288,-0.0252,-0.0043,0.0079,-0.2034,0.1596,0.8743,-0.3554,0.0648,-0.152,rest,-55
1.8,11.548,0.931,15.237,23.51,3.848,22.641,-46.886,31.809,0.0375,0.1078,-0.122,-0.0831,0.0438,-0.0051,0.0849,0.2169,-0.353,0.1948,rest,-55
1.82,0.166,-4.076,-29.422,10.061,-48.282,12.968,-29.842,1.069,-0.0119,0.117,-0.0179,-0.0694,-0.152,0.3819,0.1609,-0.0771,-0.0473,-0.3134,rest,-55
1.84,7.769,-35.196,15.036,2.572,47.739,-22.003,-2.053,35.966,0.1191,-0.0696,0.0224,0.0002,0.0846,-0.2096,-0.0268,-0.3196,0.027,0.09,rest,-55
1.86,-4.548,-32.301,19.771,7.291,-14.52,-5.612,-30.013,-20.508,-0.0538,0.1228,-0.064,0.064,-0.1615,0.0744,-0.0424,0.1746,-0.107,-0.3145,rest,-55
1.88,-27.639,-10.638,-24.981,8.204,-9.315,47.492,-34.754,4.073,-0.1128,-0.0493,0.0141,-0.2325,0.071,0.5709,-0.136,0.052,0.205,-0.0328,rest,-55
1.9,-11.619,-45.515,12.82,-2.263,-20.254,2.532,-11.674,-10.569,0.0606,-0.1338,0.1047,-0.1398,-0.1988,0.5769,0.3382,0.0195,-0.1881,-0.1059,rest,-55
1.92,1.466,0.75,-1.817,-0.617,-4.288,-28.84,-10.33,18.292,-0.1368,-0.019,-0.082,0.0111,-0.1166,0.4432,0.152,-0.2624,0.1342,-0.1549,rest,-55
1.94,-11.54,6.276,-9.835,17.857,-15.49,-12.379,-13.127,-11.313,0.1099,0.0629,0.171,0.2268,-0.3092,0.0211,-0.3529,-0.1555,-0.126,-0.2114,rest,-55
1.96,-21.038,-2.886,-24.334,16.843,-18.355,56.191,-9.028,1.44,-0.1295,0.1706,0.112,0.0297,-0.404,0.0632,-0.3364,0.2925,0.1618,0.0191,rest,-55
1.98,-48.728,-19.668,13.755,24.258,22.183,-31.84,6.031,20.31,-0.1658,-0.0008,0.0274,-0.0301,-0.5556,-0.0977,-0.0982,-0.0296,-0.1127,-0.0886,rest,-55
2.0,-0.794,8.849,-6.089,-8.193,1.847,-38.418,9.541,-0.011,0.004,0.0961,-0.1953,-0.1974,0.0821,-0.0021,0.0511,-0.0924,0.1329,0.1865,rest,-55
2.02,9.68,-5.217,-42.154,15.385,24.435,12.891,-17.593,13.476,0.0861,0.1559,-0.0876,-0.0226,0.2242,0.0172,-0.3352,0.0829,0.1157,0.0176,rest,-55
2.04,4.392,-5.174,29.566,-18.014,-11.746,0.22,17.579,-29.947,-0.131,-0.2038,0.0033,-0.1118,-0.1154,0.1984,-0.1925,0.0463,-0.0599,0.1344,rest,-55
2.06,9.503,-13.839,-3.373,20.875,7.868,-27.939,13.112,-21.692,0.1413,0.1024,0.029,0.0157,-0.0627,0.2036,-0.1112,0.0471,0.1744,-0.1124,rest,-55
2.08,-12.324,-23.887,-21.289,-36.568,14.597,36.178,28.507,-32.522,0.0725,0.1422,-0.0457,0.0101,-0.6024,0.08,-0.3191,0.0399,-0.3122,0.1086,rest,-55
2.1,20.49,-15.664,-22.738,-43.12,-5.328,-11.632,-31.02,9.06,-0.045,-0.1076,-0.0555,0.1071,0.1809,-0.039,0.1857,-0.2322,0.0065,0.0295,rest,-55
2.12,-9.397,8.709,-15.609,10.196,11.037,-58.343,23.806,-60.953,-0.0616,0.1025,-0.0317,-0.1466,-0.3281,0.3081,-0.5765,0.2258,-0.011,-0.2385,rest,-55
2.14,-11.662,-20.344,17.325,14.649,-34.383,-8.072,-17.264,25.87,-0.135,0.1604,-0.0033,-0.1162,-0.2032,-0.2405,-0.3824,0.019,-0.2456,-0.4361,rest,-55
2.16,-7.594,-36.057,-15.043,-18.182,-17.424,40.019,1.128,4.907,-0.1776,-0.0654,0.0215,-0.1025,0.2724,-0.3608,-0.0859,-0.1172,0.0329,-0.1281,rest,-55
2.18,-5.418,-4.723,-14.688,9.702,4.768,-1.772,-8.609,15.931,-0.0236,-0.0307,0.0105,0.1697,-0.4021,0.231,-0.568,0.0435,0.315,0.0977,rest,-55
2.2,3.413,-11.209,0.621,-5.041,-15.72,-5.798,3.968,-15.344,-0.0806,-0.136,0.0391,0.0545,0.0695,0.2896,0.0264,0.0784,0.0608,-0.0183,rest,-55
2.22,-10.616,44.283,-9.039,-13.318,8.68,5.037,-28.096,22.454,-0.0094,-0.1111,0.1189,0.0626,-0.3794,0.5332,0.1976,-0.002,0.318,0.0319,rest,-55
2.24,-0.562,-13.206,11.637,9.532,0.294,-15.8,2.599,-1.396,-0.1333,-0.1472,0.0565,-0.2602,0.0616,-0.1434,0.3925,-0.0987,0.1319,-0.0794,rest,-55
2.26,2.275,14.737,-9.251,19.931,-19.874,5.892,18.453,13.201,0.1916,-0.0763,-0.1379,-0.0994,0.1981,0.1494,0.0307,-0.2246,0.1534,-0.2449,rest,-55
2.28,23.179,57.149,7.329,11.662,-9.857,-36.204,-12.054,-21.858,-0.1447,0.1722,0.0273,0.038,-0.0927,-0.0519,0.2894,-0.0065,0.1061,-0.0392,rest,-55
2.3,-6.843,-28.138,-39.555,-5.231,1.13,-25.723,-0.689,1.075,-0.2156,-0.0915,0.0407,0.0387,-0.3461,0.0475,0.3067,0.1554,-0.0191,-0.0936,rest,-55
2.32,-12.587,9.356,3.902,12.588,2.637,16.375,1.892,15.694,0.0871,-0.0805,-0.1808,0.1543,0.077,-0.5143,-0.2141,0.1544,-0.0559,-0.1024,rest,-55
2.34,28.018,-20.946,-15.963,4.228,7.809,9.927,18.225,3.972,0.0489,-0.0259,0.0063,0.0108,0.0645,0.2318,0.1665,0.0088,-0.1618,0.0135,rest,-55
2.36,-0.56,3.864,44.131,-10.475,8.446,21.369,1.96,46.757,-0.0378,0.0324,-0.0799,-0.0352,0.0747,0.2539,0.0957,0.2518,-0.019,-0.0664,rest,-55
2.38,54.08,7.885,-14.39,-13.885,-18.854,18.731,-7.288,2.547,-0.0064,0.0731,-0.0847,-0.1076,0.0673,0.1803,0.0998,-0.1619,0.1355,-0.1488,rest,-55
2.4,-10.431,-18.879,26.023,12.668,12.1,24.944,56.253,-34.185,-0.0738,-0.0616,-0.0851,-0.1078,-0.0899,-0.365,0.1005,0.0103,0.0962,0.1015,rest,-55
2.42,12.06,-7.468,42.423,4.689,-37.25,-20.048,-34.81,0.347,-0.0122,-0.0468,0.2011,0.0549,0.2178,-0.2793,-0.2997,0.0074,0.0346,-0.3713,rest,-55
2.44,-3.606,0.281,-4.303,-16.268,-10.791,-3.537,1.816,12.096,0.1081,-0.0294,-0.0456,0.0438,0.1833,-0.1303,0.2371,0.1959,0.2583,0.3557,rest,-55
2.46,-17.328,0.278,0.226,-1.961,-12.985,-29.711,1.854,-15.367,0.0086,-0.0794,-0.11,0.0234,0.0453,0.1738,0.6558,0.0555,0.097,-0.2155,rest,-55
2.48,-25.738,31.657,-18.47,-20.879,-0.782,-1.804,-18.05,-6.099,0.1229,-0.0806,-0.1394,0.0943,0.1477,-0.1862,-0.4747,-0.1489,-0.0109,0.2331,rest,-55
2.5,-20.732,-1.69,13.503,-47.625,20.676,-23.649,6.64,4.934,0.1085,0.0551,-0.2377,-0.0785,0.0415,-0.0585,0.1433,0.1579,0.1217,-0.0429,rest,-55
2.52,-36.927,-9.11,8.327,-21.809,12.625,18.168,2.537,-61.276,-0.1278,0.1886,-0.0547,-0.1984,0.3706,0.004,0.3315,0.0554,0.0917,0.0726,rest,-55
2.54,13.95,45.549,19.42,-31.607,8.933,22.83,24.054,-8.532,0.1165,0.0928,0.2573,-0.075,-0.1522,-0.0918,-0.1471,-0.178,-0.5525,-0.0869,rest,-55
2.56,7.387,-9.864,38.708,0.268,25.821,5.228,16.528,5.585,0.1369,0.0056,0.0496,0.0366,-0.0865,0.1215,0.6703,-0.0541,0.0839,0.2516,rest,-55
2.58,22.805,0.234,-47.668,10.334,-44.389,29.399,3.389,19.993,-0.0902,-0.1553,0.0261,-0.0034,-0.1475,0.0254,0.8302,0.1669,0.2099,0.1688,rest,-55
2.6,29.589,-3.801,-41.095,-3.772,16.235,-19.396,-3.527,-13.835,0.1502,0.0749,0.0652,0.0622,-0.0112,0.0593,-0.3556,-0.4373,0.03,0.0648,rest,-55
2.62,24.185,31.427,31.4,-19.96,-7.045,9.607,50.638,29.602,0.1119,-0.0388,-0.0883,0.0789,-0.3302,-0.0715,-0.0344,0.3186,-0.0709,-0.4878,rest,-55
2.64,10.089,-13.98,0.853,-1.734,-5.474,15.807,-30.657,-10.34,0.0684,-0.0614,-0.1609,0.0669,0.3369,-0.0135,-0.5883,0.1412,-0.332,0.0618,rest,-55
2.66,-17.749,-23.197,-8.838,-3.666,-12.884,11.774,-8.921,19.604,0.0281,-0.0698,-0.0866,-0.1647,0.0872,-0.1064,-0.7117,-0.1071,-0.1802,0.3151,rest,-55
2.68,-34.056,-28.827,22.199,27.135,-14.9,-12.642,12.325,-46.542,-0.1861,-0.0281,0.155,-0.0436,0.0303,0.3401,0.6321,-0.1154,-0.0034,0.3644,rest,-55
2.7,-30.444,20.552,-20.366,2.049,-4.852,-19.16,-19.662,5.528,0.0996,-0.013,0.007,0.0571,-0.2915,0.2219,0.2458,0.5207,-0.0752,-0.0916,rest,-55
2.72,15.379,16.382,-10.702,-8.063,10.823,-16.552,-8.211,1.792,0.0996,-0.0605,-0.1842,-0.1917,-0.3778,-0.394,-0.0464,-0.2378,-0.1406,-0.1548,rest,-55
